timestamp,ax,ay,az,gx,gy,gz
0.00000000,0.0372,4.4842,-2.9732,-2.6920,9.0539,-6.3982
0.00500000,-5.0974,5.4678,-12.2921,-9.7345,-0.0563,-12.6322
0.01000000,-7.3121,-0.7766,-14.2770,-1.1065,-0.5214,-4.6332
0.01500000,-1.8354,-2.1986,-5.3835,-0.0488,1.4278,1.2054
0.02000000,-0.4131,-0.1584,-0.3998,-2.2611,0.6376,-0.9228
0.02500000,-1.9503,-0.7673,-1.7659,-0.4925,-0.4190,-1.2421
0.03000000,-0.4015,-0.4694,-1.8732,0.3163,0.4503,-0.6099
0.03500000,0.4999,0.2854,-1.0696,0.0971,0.2506,-0.6816
0.04000000,0.2000,0.1162,-1.0849,-0.2715,0.1747,-0.8641
0.04500000,-0.2816,0.1579,-1.1062,-0.6473,0.7340,-0.6505
0.05000000,-0.7378,0.5955,-1.0189,-0.8756,0.7463,-0.7612
0.05500000,-0.9488,0.6551,-1.0569,-0.7994,0.7246,-0.7127
0.06000000,-0.9017,0.5715,-1.0136,-0.6378,0.5019,-0.6418
0.06500000,-0.7350,0.5129,-0.9431,-0.3878,0.5182,-0.6492
0.07000000,-0.4955,0.6306,-0.9323,-0.1600,0.6251,-0.5705
0.07500000,-0.2247,0.8169,-0.8607,0.0173,0.6603,-0.5015
0.08000000,-0.1316,0.7939,-0.8608,-0.1058,0.4623,-0.6237
0.08500000,-0.2072,0.5933,-0.9352,-0.0891,0.2939,-0.6294
0.09000000,-0.1536,0.4544,-0.9302,0.0417,0.3164,-0.6528
0.09500000,-0.0602,0.4215,-0.9078,-0.0152,0.3476,-0.6465
0.10000000,-0.0860,0.3861,-0.9787,0.0023,0.4185,-0.7735
0.10500000,-0.1388,0.3975,-1.0228,-0.0615,0.5172,-0.5952
0.11000000,-0.2249,0.5837,-0.8878,-0.1196,0.8987,-0.4253
0.11500000,-0.2377,0.7141,-0.8229,-0.0280,0.7418,-0.4768
0.12000000,-0.2080,0.6399,-0.9045,-0.0899,1.0590,-0.4289
0.12500000,-0.2065,0.5622,-0.9101,0.0562,0.8881,-0.3906
0.13000000,-0.1655,0.3690,-0.8967,0.0078,0.7051,-0.4114
0.13500000,-0.1329,0.2407,-0.9145,0.0365,0.8181,-0.4398
0.14000000,0.0098,0.2608,-0.9093,0.1945,0.7459,-0.4107
0.14500000,0.1417,0.1241,-0.8377,0.0640,0.8244,-0.3069
0.15000000,-0.1887,-0.0010,-0.7165,-0.6026,0.9483,-0.3432
0.15500000,-0.5389,0.1269,-0.6991,-0.6170,1.0578,-0.5754
0.16000000,-0.4008,0.2631,-0.8096,-0.6283,0.6853,-0.6391
0.16500000,-0.1950,0.2989,-0.9220,-0.4762,0.8179,-0.7582
0.17000000,0.1813,0.4635,-0.9664,0.1021,0.5743,-0.6992
0.17500000,0.5350,0.4596,-0.8964,-0.0730,-0.0753,-0.2697
0.18000000,0.2955,0.3110,-1.0053,-0.3796,0.6830,-0.5424
0.18500000,-0.0213,0.3995,-1.4301,-0.3425,1.2519,-0.8452
0.19000000,0.0890,0.5344,-1.6937,0.0849,1.5069,-0.9386
0.19500000,0.4520,0.6466,-1.7663,0.3253,1.8281,-1.0056
0.20000000,0.7166,0.7876,-2.1236,0.5307,2.0149,-1.4304
0.20500000,0.4682,0.8850,-2.5795,-0.1488,2.0390,-1.3687
0.21000000,-0.1073,1.0889,-3.0123,-0.1924,2.3790,-2.0341
0.21500000,-0.3763,1.3193,-3.4419,-0.0342,2.3008,-1.8614
0.22000000,-0.7344,1.0287,-3.1736,-0.5485,1.7166,-1.0463
0.22500000,-1.4926,0.6649,-2.0692,-1.2133,1.9764,0.1427
0.23000000,-2.7816,0.8546,-1.0589,-3.1485,2.1008,0.4307
0.23500000,-4.7826,1.5046,-1.2693,-4.6470,2.9763,-1.0196
0.24000000,-4.7308,2.4679,-2.1281,-1.8882,3.0159,-1.3582
0.24500000,-2.2363,2.8119,-1.9132,-1.1573,2.5415,-0.5013
0.25000000,-1.2578,2.2319,-0.6509,-1.6323,1.8370,0.2263
0.25500000,-1.4524,1.2564,0.1101,-1.2356,1.1068,-0.0276
0.26000000,-0.9703,0.3208,-0.3737,-0.7913,0.9682,-0.8512
0.26500000,-0.5466,0.0421,-1.4819,-0.5688,1.3173,-1.6708
0.27000000,-0.3956,0.2798,-2.5222,-0.3687,1.6483,-2.2418
0.27500000,-0.2062,0.4724,-3.3147,-0.1689,1.7224,-2.6432
0.28000000,-0.0028,0.4940,-3.9428,-0.2600,1.6755,-2.8774
0.28500000,0.0685,0.4077,-4.4581,-0.3115,1.4800,-3.0563
0.29000000,0.0530,0.2700,-4.7828,-0.3280,1.2656,-3.0296
0.29500000,0.0857,0.1266,-4.7516,-0.1779,1.0309,-2.6159
0.30000000,0.3241,-0.0106,-4.3132,0.1935,0.8223,-2.0096
0.30500000,0.7277,-0.1037,-3.7514,0.4923,0.7791,-1.5192
0.31000000,1.0363,-0.0334,-3.4222,0.6282,0.9463,-1.2717
0.31500000,1.1659,0.2609,-3.4232,0.6625,1.2523,-1.2294
0.32000000,1.1890,0.6908,-3.6447,0.6362,1.5334,-1.3512
0.32500000,1.1546,1.1199,-3.9086,0.5976,1.7251,-1.4880
0.33000000,1.1056,1.4948,-4.0779,0.5719,1.8565,-1.5346
0.33500000,1.0732,1.8093,-4.1322,0.5936,1.7896,-1.5183
0.34000000,1.0503,2.0468,-4.1093,0.5977,1.8069,-1.4618
0.34500000,1.0210,2.2779,-3.9882,0.5892,1.9358,-1.2960
0.35000000,0.9943,2.5999,-3.7210,0.5486,2.1391,-1.0767
0.35500000,0.9897,2.9491,-3.3271,0.5010,2.2627,-0.9155
0.36000000,1.0360,3.2158,-2.8891,0.4635,2.3492,-0.8340
0.36500000,1.1410,3.3738,-2.5190,0.4391,2.3681,-0.8743
0.37000000,1.2373,3.3973,-2.3158,0.3796,2.2639,-1.0765
0.37500000,1.2766,3.3075,-2.2517,0.3843,2.1169,-1.2889
0.38000000,1.3102,3.1708,-2.1550,0.4859,1.9379,-1.3891
0.38500000,1.3707,3.0066,-1.9154,0.7587,1.6858,-1.5946
0.39000000,1.4201,2.8263,-1.6338,0.8828,1.4730,-1.6529
0.39500000,1.4286,2.6511,-1.4383,0.9659,1.2693,-1.7327
0.40000000,1.3787,2.3882,-1.3799,0.9604,0.8554,-1.9658
0.40500000,1.2460,1.9680,-1.5184,0.8917,0.4270,-2.2987
0.41000000,1.0705,1.5242,-1.7684,0.8438,0.0156,-2.5566
0.41500000,0.9267,1.1231,-1.9645,0.8401,-0.4150,-2.7049
0.42000000,0.8286,0.7437,-2.0831,0.8630,-0.8180,-2.7835
0.42500000,0.7409,0.4290,-2.1788,0.8655,-1.1326,-2.8276
0.43000000,0.6231,0.2038,-2.2815,0.8156,-1.2966,-2.7678
0.43500000,0.4645,0.0688,-2.3843,0.7518,-1.3445,-2.7359
0.44000000,0.2933,0.0117,-2.4616,0.6359,-1.3659,-2.6571
0.44500000,0.1453,-0.0152,-2.4760,0.5352,-1.3907,-2.5166
0.45000000,0.0120,-0.0276,-2.4394,0.4215,-1.3811,-2.3901
0.45500000,-0.1407,-0.0059,-2.4120,0.3065,-1.3557,-2.2936
0.46000000,-0.3214,0.0461,-2.4066,0.1907,-1.3064,-2.2137
0.46500000,-0.5151,0.1326,-2.4017,0.0919,-1.2245,-2.1459
0.47000000,-0.6941,0.2681,-2.3838,0.0171,-1.1031,-2.0755
0.47500000,-0.8547,0.4684,-2.3394,-0.0770,-0.9209,-2.0018
0.48000000,-1.0077,0.7355,-2.2500,-0.1652,-0.7087,-1.9407
0.48500000,-1.1224,1.0273,-2.1208,-0.2404,-0.5066,-1.9165
0.49000000,-1.1833,1.2720,-2.0206,-0.2730,-0.3827,-1.9931
0.49500000,-1.2098,1.4252,-1.9926,-0.2471,-0.3103,-2.1203
0.50000000,-1.2217,1.5570,-2.0504,-0.2205,-0.1725,-2.3689
0.50500000,-1.2877,1.7144,-2.2599,-0.2741,-0.0779,-2.7717
0.51000000,-1.4143,1.7862,-2.5703,-0.2751,-0.1100,-3.1467
0.51500000,-1.5342,1.7011,-2.8167,-0.2975,-0.2304,-3.3703
0.52000000,-1.6678,1.5207,-2.9547,-0.3685,-0.3752,-3.4386
0.52500000,-1.8451,1.3271,-3.0510,-0.4972,-0.4974,-3.5131
0.53000000,-2.0604,1.1452,-3.1545,-0.7551,-0.6319,-3.5955
0.53500000,-2.2944,0.9521,-3.2883,-1.0137,-0.7770,-3.7318
0.54000000,-2.6125,0.5952,-3.5248,-1.4546,-1.2251,-3.9943
0.54500000,-3.0434,0.0217,-3.8066,-1.8493,-1.6255,-4.1282
0.55000000,-3.4377,-0.5316,-3.9215,-2.0719,-1.9585,-4.0566
0.55500000,-3.8191,-0.9872,-3.8417,-2.3669,-2.2702,-3.7413
0.56000000,-4.3128,-1.3586,-3.6669,-2.7118,-2.4577,-3.3104
0.56500000,-5.1031,-1.5624,-3.2032,-3.5151,-2.5194,-2.4074
0.57000000,-6.1202,-1.6092,-2.3015,-4.0849,-2.5038,-1.4650
0.57500000,-6.8622,-1.5868,-1.3404,-4.4796,-2.4993,-0.6182
0.58000000,-7.3066,-1.6054,-0.5509,-5.0887,-2.5630,-0.0105
0.58500000,-7.6560,-1.7396,0.1734,-5.4663,-2.5777,0.5476
0.59000000,-7.8548,-1.9593,0.7601,-5.7208,-2.4693,0.9200
0.59500000,-7.9204,-2.1171,1.0890,-5.8214,-2.2243,1.1498
0.60000000,-7.8671,-2.0149,1.2585,-5.7126,-1.7276,1.3826
0.60500000,-7.6278,-1.5439,1.4530,-5.3195,-0.8092,1.6627
0.61000000,-7.2115,-0.8062,1.7195,-4.9526,-0.0282,1.7983
0.61500000,-6.8367,-0.2023,2.3674,-4.8340,0.4915,2.6003
0.62000000,-6.8334,-0.0209,3.3259,-5.1945,0.9322,2.8695
0.62500000,-7.2128,-0.2182,3.5221,-5.4622,0.8968,2.1894
0.63000000,-8.5498,-1.7636,3.7364,-7.0992,-1.5106,3.5865
0.63500000,-8.8777,-3.1992,4.4639,-4.4806,-0.2643,3.4608
0.64000000,-4.7262,-0.9599,0.9270,-0.3046,3.0373,-3.2676
0.64500000,-0.1598,2.2500,-5.0913,-0.1943,3.4357,-3.7879
0.65000000,-0.6922,5.3070,-8.3546,-3.3146,8.0954,-7.0777
0.65500000,-6.3186,4.7988,-12.8717,-10.2072,-0.1092,-11.6337
0.66000000,-7.8468,-2.7501,-11.1029,-1.4301,-5.2536,0.3134
0.66500000,0.1075,-4.5689,-1.1401,3.8676,0.6236,1.6762
0.67000000,3.1458,0.5902,0.8502,-1.7432,2.8118,-1.2068
0.67500000,-1.9669,1.3497,-2.5241,-3.1760,0.8216,-1.6561
0.68000000,-2.9520,-0.4584,-2.6204,-0.4265,-0.1204,-0.9465
0.68500000,-0.3076,-0.2705,-1.4962,0.3476,0.6329,-0.4396
0.69000000,0.4363,0.4909,-0.9690,-0.1751,0.2984,-0.7040
0.69500000,-0.2199,0.2829,-1.1161,-0.7107,0.2676,-0.6605
0.70000000,-0.7282,0.2229,-1.0587,-0.8079,0.5499,-0.3958
0.70500000,-0.8795,0.6160,-0.9222,-0.7903,0.5097,-0.5374
0.71000000,-0.9715,0.7243,-1.0191,-0.8994,0.2560,-0.5831
0.71500000,-0.8956,0.5106,-1.0472,-0.4356,-0.0260,-0.6290
0.72000000,-0.4047,0.4190,-0.9521,-0.0338,0.4066,-0.5707
0.72500000,-0.0399,0.7066,-0.8721,-0.0456,0.5685,-0.5646
0.73000000,-0.1334,0.7696,-0.8793,-0.2697,0.3509,-0.6295
0.73500000,-0.3211,0.4925,-0.9418,-0.2539,0.2138,-0.6632
0.74000000,-0.3113,0.3197,-0.9597,-0.1761,0.2634,-0.6254
0.74500000,-0.2404,0.2772,-0.9505,-0.1771,0.2484,-0.6491
0.75000000,-0.2641,0.3487,-0.9794,-0.2215,0.4380,-0.6780
0.75500000,-0.2279,0.4456,-1.0304,-0.0508,0.4192,-0.7072
0.76000000,-0.0943,0.5046,-1.0058,0.0041,0.5568,-0.5866
0.76500000,-0.0121,0.6445,-0.9417,0.0730,0.6914,-0.6030
0.77000000,0.0371,0.6731,-0.9681,0.1312,0.6972,-0.5782
0.77500000,0.0741,0.5172,-1.0818,0.1749,0.7734,-0.6933
0.78000000,0.0305,0.3963,-1.0969,0.0750,0.7943,-0.4784
0.78500000,-0.1892,0.3364,-0.9004,-0.2178,0.8395,-0.3176
0.79000000,-0.3578,0.3555,-0.7853,-0.1175,1.0554,-0.3635
0.79500000,-0.1954,0.3620,-0.8427,0.0402,0.9361,-0.3825
0.80000000,-0.0870,0.2530,-0.8472,-0.2068,1.0008,-0.3576
0.80500000,-0.2808,0.1877,-0.7754,-0.4662,1.0309,-0.3822
0.81000000,-0.4382,0.2010,-0.7247,-0.5460,0.9898,-0.4670
0.81500000,-0.3227,0.2485,-0.7278,-0.4093,0.8207,-0.5647
0.82000000,-0.0134,0.3640,-0.8270,-0.2311,0.6616,-0.6197
0.82500000,0.3765,0.4625,-1.0104,0.1145,0.4509,-0.4364
0.83000000,0.5062,0.4072,-0.9684,-0.2510,0.7471,-0.1020
0.83500000,0.1557,0.3365,-1.1265,-0.4399,1.1181,-0.8391
0.84000000,-0.1189,0.3946,-1.7169,-0.3569,1.5406,-1.0172
0.84500000,0.1666,0.5937,-1.8689,0.1388,1.9923,-0.9231
0.85000000,0.7079,0.8466,-1.8538,0.4091,2.0460,-0.9161
0.85500000,0.5762,0.9492,-2.2311,-0.3099,2.0650,-1.0906
0.86000000,0.0244,1.0677,-3.0145,-0.0827,2.2787,-1.9755
0.86500000,-0.0508,1.1016,-3.6930,0.0616,1.9881,-1.7276
0.87000000,-0.6842,0.8610,-3.1280,-1.1481,1.8966,-0.5863
0.87500000,-1.1589,0.4888,-1.1627,-0.0382,1.4180,1.5398
0.88000000,-2.0012,0.4928,0.3226,-3.6166,2.1478,1.3048
0.88500000,-5.6712,1.3850,-0.6694,-6.3911,2.9305,-0.4004
0.89000000,-6.7288,2.4749,-2.4480,-2.6261,3.0881,-1.6063
0.89500000,-3.0206,2.9415,-2.4776,-0.8390,3.0781,-0.7921
